occupation,sector,minimum_education,skills,interests,description,employment_type,source_url
Farmer (Crop Cultivation),Agriculture,5th|8th|10th,farming|agriculture|tools|crop management,agriculture|farming|outdoor work,Grows and manages food or cash crops on owned or leased land.,Self Employment,https://www.agriskillcouncil.in
Dairy Farmer,Agriculture,5th|8th|10th,farming|animal care|dairy management|agriculture,agriculture|animals|farming,Rears milch animals and manages milk production and sale.,Self Employment,https://www.agriskillcouncil.in
Poultry Farmer,Agriculture,8th|10th,farming|animal care|poultry management|agriculture,agriculture|animals|farming,Raises poultry birds for eggs or meat and manages feed and health.,Self Employment,https://www.agriskillcouncil.in
Fish Farmer (Fisheries Worker),Agriculture,5th|8th|10th,farming|fisheries|pond management|agriculture,agriculture|fisheries|outdoor work,Rears fish or shrimp in ponds/tanks and manages harvesting and sale.,Self Employment,https://www.ncs.gov.in
Horticulture Worker,Agriculture,8th|10th,farming|horticulture|tools|agriculture,agriculture|gardening|farming,"Cultivates fruits, vegetables, flowers and manages nursery operations.",Job|Self Employment,https://www.agriskillcouncil.in
Agricultural Equipment Operator (Tractor Operator),Agriculture,8th|10th|ITI,tractor operation|machinery operation|farming|tools,agriculture|machines|farming,"Operates tractors and farm machinery for ploughing, sowing and harvesting.",Job|Self Employment,https://www.ncs.gov.in
Beekeeper (Apiculture),Agriculture,5th|8th,farming|beekeeping|agriculture,agriculture|farming|outdoor work,Maintains bee colonies for honey production and pollination services.,Self Employment,https://www.kviconline.gov.in
Agricultural Labourer,Agriculture,5th|8th,farming|tools|agriculture|physical labour,agriculture|farming|outdoor work,"Performs sowing, weeding, harvesting and other farm work on wages.",Job,https://www.ncs.gov.in
Two-Wheeler Mechanic,Automotive,8th|10th|ITI,mechanical work|automobiles|tools|vehicle repair|diagnostics,automobiles|repair work|technical work,Services and repairs motorcycles and scooters.,Job|Self Employment,https://www.asci.org.in
Four-Wheeler Mechanic (Light Motor Vehicle),Automotive,10th|ITI,mechanical work|automobiles|tools|vehicle repair|diagnostics,automobiles|repair work|technical work,Services and repairs cars and light motor vehicles.,Job|Self Employment,https://www.asci.org.in
Heavy Vehicle Mechanic,Automotive,10th|ITI,mechanical work|automobiles|tools|vehicle repair|diagnostics,automobiles|repair work|technical work,"Repairs and maintains trucks, buses and other heavy commercial vehicles.",Job,https://www.asci.org.in
Auto Electrician,Automotive,8th|10th|ITI,electrical work|wiring|automobiles|tools|diagnostics,automobiles|electrical work|technical work,"Repairs vehicle wiring, batteries, starters and electrical systems.",Job|Self Employment,https://www.asci.org.in
Commercial Vehicle Driver,Automotive,8th|10th,driving|vehicle handling|road safety,automobiles|driving|outdoor work,"Drives cars, taxis, autos or commercial vehicles for passengers or goods.",Job|Self Employment,https://www.ncs.gov.in
Auto Body Repair Technician (Denting-Painting),Automotive,8th|10th|ITI,mechanical work|tools|automobiles|painting|repair work,automobiles|repair work|technical work,Repairs vehicle body dents and carries out surface painting.,Job|Self Employment,https://www.asci.org.in
Mason (Building Construction),Construction,5th|8th|10th|ITI,masonry|construction work|tools|physical labour,construction|technical work|outdoor work,"Builds and repairs walls, foundations and structures using bricks, blocks and cement.",Job|Self Employment,https://csdcindia.org
Bar Bender and Steel Fixer,Construction,5th|8th|10th,bar bending|construction work|tools|physical labour,construction|technical work|outdoor work,"Cuts, bends and fixes steel reinforcement bars for concrete structures.",Job,https://csdcindia.org
Carpenter (Construction),Construction,8th|10th|ITI,carpentry|tools|construction work|woodwork,construction|technical work|design,"Makes and installs wooden doors, windows, furniture and fittings at construction sites.",Job|Self Employment,https://csdcindia.org
Construction Painter,Construction,8th|10th,painting|tools|construction work,construction|design|technical work,"Applies paint, primer and finishing coats on buildings and structures.",Job|Self Employment,https://csdcindia.org
Plumber,Construction,8th|10th|ITI,plumbing|pipe fitting|tools|technical work,plumbing|technical work|repair work,"Installs and repairs water supply, drainage and sanitary pipelines.",Job|Self Employment,https://csdcindia.org
Tile and Marble Worker,Construction,8th|10th,tile laying|construction work|tools,construction|technical work|design,"Lays tiles, marble and stone flooring and wall cladding.",Job|Self Employment,https://csdcindia.org
Scaffolder,Construction,8th|10th,scaffolding|construction work|tools|physical labour,construction|technical work|outdoor work,Erects and dismantles scaffolding structures for construction work.,Job,https://csdcindia.org
Construction Site Supervisor (Assistant),Construction,10th|12th|Diploma,site supervision|construction work|planning|teamwork,construction|management|technical work,"Assists in supervising labour, materials and daily progress at construction sites.",Job,https://csdcindia.org
Sanitary Fitter,Construction,8th|10th|ITI,plumbing|pipe fitting|tools,plumbing|technical work|repair work,"Installs sanitary ware such as taps, wash basins, toilets and fittings.",Job|Self Employment,https://csdcindia.org
Electrician (Domestic),Electrical,8th|10th|ITI,electrical work|wiring|tools|technical work,electrical work|technical work|repair work,"Installs and repairs household electrical wiring, switches and fittings.",Job|Self Employment,https://www.ncs.gov.in
Industrial Electrician,Electrical,10th|ITI,electrical work|wiring|machinery operation|technical work,electrical work|technical work|machines,Maintains and repairs electrical systems and machinery in factories.,Job,https://www.ncs.gov.in
Electrical Wireman,Electrical,8th|10th|ITI,electrical work|wiring|tools,electrical work|technical work,Carries out house and building wiring as per safety standards.,Job|Self Employment,https://www.nimi.gov.in
Motor Rewinding Technician,Electrical,8th|10th|ITI,electrical work|motor repair|tools|technical work,electrical work|repair work|technical work,Repairs and rewinds electric motors and pumps.,Job|Self Employment,https://www.ncs.gov.in
